|                MJD |     mag |   dmag | filt |      source | nondet |
| 57823.771699999925 | 14.4676 | 0.0047 |    r | Las Cumbres |  False |
|  57823.77369999979 |  14.678 | 0.0058 |    i | Las Cumbres |  False |
|  57823.77549999999 | 14.6681 | 0.0058 |    i | Las Cumbres |  False |
|  57823.96160000004 | 14.1841 | 0.0109 |    U | Las Cumbres |  False |
|  57823.96549999993 | 14.1382 | 0.0108 |    U | Las Cumbres |  False |
|  57823.96969999978 | 14.4586 |  0.004 |    B | Las Cumbres |  False |
|  57823.97239999985 | 14.4606 | 0.0048 |    B | Las Cumbres |  False |
|  57823.97539999988 | 14.3979 | 0.0058 |    V | Las Cumbres |  False |
|  57823.97729999991 | 14.3937 |  0.005 |    V | Las Cumbres |  False |
|  57823.97940000007 | 14.3137 | 0.0051 |    g | Las Cumbres |  False |
|  57823.98219999997 | 14.3121 | 0.0051 |    g | Las Cumbres |  False |
| 57823.985100000165 | 14.3738 | 0.0048 |    r | Las Cumbres |  False |
|   57823.9870000002 | 14.3671 | 0.0048 |    r | Las Cumbres |  False |
|  57823.98900000006 |   14.59 | 0.0059 |    i | Las Cumbres |  False |
|  57823.99090000009 | 14.5816 | 0.0052 |    i | Las Cumbres |  False |
|  57824.17700000014 |  14.098 | 0.0101 |    U | Las Cumbres |  False |
| 57824.180999999866 | 14.1292 |   0.01 |    U | Las Cumbres |  False |
| 57824.185099999886 | 14.3807 |  0.004 |    B | Las Cumbres |  False |
| 57824.187899999786 | 14.3673 |  0.004 |    B | Las Cumbres |  False |
|  57824.19079999998 | 14.2982 | 0.0042 |    V | Las Cumbres |  False |
| 57824.192600000184 | 14.2954 |  0.005 |    V | Las Cumbres |  False |
| 57824.194699999876 | 14.2191 |  0.005 |    g | Las Cumbres |  False |
|  57824.19749999978 |  14.221 |  0.005 |    g | Las Cumbres |  False |
|  57824.20039999997 | 14.2856 | 0.0054 |    r | Las Cumbres |  False |
| 57824.202200000174 | 14.2803 | 0.0047 |    r | Las Cumbres |  False |
|  57824.20420000004 | 14.4796 | 0.0067 |    i | Las Cumbres |  False |
|  57824.20610000007 | 14.4865 | 0.0067 |    i | Las Cumbres |  False |
|  57824.74090000009 | 13.9698 | 0.0115 |    U | Las Cumbres |  False |
| 57824.744799999986 | 14.0087 | 0.0113 |    U | Las Cumbres |  False |
| 57824.748900000006 | 14.2061 | 0.0043 |    B | Las Cumbres |  False |
| 57824.751699999906 | 14.2103 | 0.0042 |    B | Las Cumbres |  False |
|   57824.7546000001 | 14.1008 | 0.0044 |    V | Las Cumbres |  False |
| 57824.756500000134 | 14.1014 | 0.0044 |    V | Las Cumbres |  False |
| 57824.758499999996 | 14.0494 |  0.004 |    g | Las Cumbres |  False |
|   57824.7612999999 |  14.053 |  0.004 |    g | Las Cumbres |  False |
|  57824.76420000009 | 14.0642 | 0.0046 |    r | Las Cumbres |  False |
| 57824.766100000124 |  14.071 | 0.0039 |    r | Las Cumbres |  False |
|  57824.76809999999 | 14.2776 |  0.005 |    i | Las Cumbres |  False |
|  57824.88269999996 | 13.9399 | 0.0129 |    U | Las Cumbres |  False |
|  57824.88659999985 | 13.9308 | 0.0125 |    U | Las Cumbres |  False |
|  57824.89080000017 | 14.1353 | 0.0041 |    B | Las Cumbres |  False |
|  57824.89360000007 | 14.1291 | 0.0041 |    B | Las Cumbres |  False |
|   57824.8964999998 | 14.0446 | 0.0043 |    V | Las Cumbres |  False |
|  57824.89839999983 | 14.0388 | 0.0043 |    V | Las Cumbres |  False |
|  57824.90049999999 | 13.9738 |  0.004 |    g | Las Cumbres |  False |
|  57824.90329999989 | 13.9708 |  0.005 |    g | Las Cumbres |  False |
| 57824.906299999915 | 14.0301 | 0.0045 |    r | Las Cumbres |  False |
|  57824.90810000012 | 14.0243 | 0.0053 |    r | Las Cumbres |  False |
|  57824.91009999998 | 14.2309 | 0.0049 |    i | Las Cumbres |  False |
|  57824.91200000001 | 14.2383 | 0.0049 |    i | Las Cumbres |  False |
|  57825.00009999983 |   13.92 | 0.0119 |    U | Las Cumbres |  False |
|  57825.00410000002 | 13.9028 | 0.0126 |    U | Las Cumbres |  False |
|  57825.00820000004 | 14.1109 | 0.0042 |    B | Las Cumbres |  False |
|  57825.01099999994 | 14.0866 |  0.004 |    B | Las Cumbres |  False |
|  57825.01399999997 | 14.0213 | 0.0043 |    V | Las Cumbres |  False |
|         57825.0159 | 14.0207 | 0.0043 |    V | Las Cumbres |  False |
|  57825.01800000016 | 13.9165 | 0.0043 |    g | Las Cumbres |  False |
|  57825.02080000006 | 13.9107 | 0.0043 |    g | Las Cumbres |  False |
|  57825.02369999979 | 13.9676 | 0.0047 |    r | Las Cumbres |  False |
|  57825.02559999982 | 13.9637 | 0.0047 |    r | Las Cumbres |  False |
|  57825.02760000015 | 14.2024 | 0.0049 |    i | Las Cumbres |  False |
